#,GP,NO,YDS,AVG,TD,Long,AVG/G,PlayerID
23,2,14,252,18.00,1,35,126.00,16679
8,2,8,112,14.00,1,22,56.00,16416
6,2,8,68,8.50,1,24,34.00,16459
7,2,4,38,9.50,0,16,19.00,16433
22,2,5,32,6.40,0,14,16.00,16591
44,2,1,29,29.00,0,29,14.50,16439
0,2,2,29,14.50,0,27,14.50,16445
34,2,2,26,13.00,0,25,13.00,16460
80,2,3,26,8.67,0,20,13.00,16563
14,2,2,22,11.00,0,11,11.00,16408
84,2,1,22,22.00,0,22,11.00,16420
3,2,2,12,6.00,0,6,6.00,16451
2,2,2,5,2.50,0,4,2.50,16456
33,1,1,4,4.00,0,4,4.00,16403
17,1,1,3,3.00,0,3,3.00,16550
83,2,1,1,1.00,1,1,0.50,16464
82,1,1,0,0.00,0,0,0.00,16562
16,2,0,0,NaN,0,0,0.00,16457
